  Id   Target Id                          Frame 
* 1    Thread 0x7fdbfcddb700 (LWP 124796) 0x0000000000000000 in ?? ()
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 26 (Thread 0x7fdbfcc0d700 (LWP 124810)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 25 (Thread 0x7fdbfcd36700 (LWP 124801)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 24 (Thread 0x7fdbfccd3700 (LWP 124804)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 23 (Thread 0x7fdbfccb2700 (LWP 124805)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 22 (Thread 0x7fdbfccf4700 (LWP 124803)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 21 (Thread 0x7fdbfcdba700 (LWP 124797)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 20 (Thread 0x7fdbfcdfc700 (LWP 124795)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 19 (Thread 0x7fdbfd02d700 (LWP 124778)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 18 (Thread 0x7fdbfce1d700 (LWP 124794)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 17 (Thread 0x7fdbfcf67700 (LWP 124784)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 16 (Thread 0x7fd9e81ba700 (LWP 125120)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x7fdb7002fde0) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x7fdb7002fd90, cond=0x7fdb7002fdb8) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x7fdb7002fdb8, mutex=0x7fdb7002fd90) at pthread_cond_wait.c:647
#3  0x00007fd9e828abf3 in galera::ReplicatorSMM::request_state_transfer(void*, wsrep_uuid const&, long, void const*, long) () from /usr/share/manticore/modules/libgalera_manticore.so
#4  0x00007fd9e827d461 in galera::ReplicatorSMM::process_conf_change(void*, wsrep_view_info const&, int, galera::Replicator::State, long) () from /usr/share/manticore/modules/libgalera_manticore.so
#5  0x00007fd9e82a6483 in galera::GcsActionSource::dispatch(void*, gcs_action const&, bool&) () from /usr/share/manticore/modules/libgalera_manticore.so
#6  0x00007fd9e82a682b in galera::GcsActionSource::process(void*, bool&) () from /usr/share/manticore/modules/libgalera_manticore.so
#7  0x00007fd9e8277e7c in galera::ReplicatorSMM::async_recv(void*) () from /usr/share/manticore/modules/libgalera_manticore.so
#8  0x00007fd9e826dfcd in galera_recv () from /usr/share/manticore/modules/libgalera_manticore.so
#9  0x0000000000ec76a3 in ?? ()
#10 0x0000000000edaff7 in ?? ()
#11 0x0000000000ec540c in ?? ()
#12 0x0000000000ee2e7f in ?? ()
#13 0x0000000000000000 in ?? ()

Thread 15 (Thread 0x7fdbfce80700 (LWP 124791)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 14 (Thread 0x7fdbfcea1700 (LWP 124790)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 13 (Thread 0x7fdbfce3e700 (LWP 124793)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 12 (Thread 0x7fdbfcf04700 (LWP 124787)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 11 (Thread 0x7fdbfcec2700 (LWP 124789)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 10 (Thread 0x7fdbfcb26700 (LWP 124817)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 9 (Thread 0x7fdbfcf25700 (LWP 124786)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 8 (Thread 0x7fdbfcf46700 (LWP 124785)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 7 (Thread 0x7fdbfcf88700 (LWP 124783)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 6 (Thread 0x7fdbfcfeb700 (LWP 124780)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 5 (Thread 0x7fdbfcfa9700 (LWP 124782)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 4 (Thread 0x7fdbfd00c700 (LWP 124779)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 3 (Thread 0x7fdbfd02e800 (LWP 124777)):
#0  0x00007fdbfd147fcb in __GI___select (nfds=0, readfds=0x0, writefds=0x0, exceptfds=0x0, timeout=0x7ffe6e101d48) at ../sysdeps/unix/sysv/linux/select.c:41
#1  0x000000000063975f in ?? ()
#2  0x000000000060f857 in ?? ()
#3  0x000000000061594d in ?? ()
#4  0x0000000000616806 in ?? ()
#5  0x00007fdbfd057083 in __libc_start_main (main=0x6167c0, argc=6, argv=0x7ffe6e102938, init=<optimized out>, fini=<optimized out>, rtld_fini=<optimized out>, stack_end=0x7ffe6e102928) at ../csu/libc-start.c:308
#6  0x000000000054fd3e in ?? ()

Thread 2 (Thread 0x7fdbfcfca700 (LWP 124781)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 1 (Thread 0x7fdbfcddb700 (LWP 124796)):
#0  0x0000000000000000 in ?? ()
#1  0x00000000005ed8ab in ?? ()
#2  0x000000000056cb16 in ?? ()
#3  0x000000000056bebc in ?? ()
#4  0x0000000000561619 in ?? ()
#5  0x0000000000561952 in ?? ()
#6  0x00000000005acad0 in ?? ()
#7  0x00000000005aa458 in ?? ()
#8  0x00000000005aaf45 in ?? ()
#9  0x0000000000ec540c in ?? ()
#10 0x0000000000ee2e7f in ?? ()
#11 0x0000000000000000 in ?? ()
No symbol "fullbt" in current context.
#0  0x0000000000000000 in ?? ()
No symbol table info available.
#1  0x00000000005ed8ab in ?? ()
No symbol table info available.
#2  0x000000000056cb16 in ?? ()
No symbol table info available.
#3  0x000000000056bebc in ?? ()
No symbol table info available.
#4  0x0000000000561619 in ?? ()
No symbol table info available.
#5  0x0000000000561952 in ?? ()
No symbol table info available.
#6  0x00000000005acad0 in ?? ()
No symbol table info available.
#7  0x00000000005aa458 in ?? ()
No symbol table info available.
#8  0x00000000005aaf45 in ?? ()
No symbol table info available.
#9  0x0000000000ec540c in ?? ()
No symbol table info available.
#10 0x0000000000ee2e7f in ?? ()
No symbol table info available.
#11 0x0000000000000000 in ?? ()
No symbol table info available.
No symbol table info available.
No core file now.
